KD,Kill,Death,Assistant,WinRate,PickRate,AvgScore,FirstBloodRate
0.96,3.9,4.1,1.3,49.0,4.2,193.0,0.1
0.96,4.0,4.1,1.1,48.9,5.3,192.0,0.1
0.89,3.7,4.2,2.1,48.9,2.9,189.0,0.1
0.88,3.5,4.0,1.3,48.9,4.2,176.0,0.1
1.01,4.0,4.0,1.3,48.5,0.6,192.0,0.1
0.88,3.7,4.2,1.4,48.4,1.3,184.0,0.1
0.86,3.5,4.1,1.3,48.3,2.7,176.0,0.1
0.97,4.1,4.2,1.5,48.2,1.4,201.0,0.1
1.17,4.7,4.0,1.4,51.4,11.4,232.0,0.1
1.02,4.0,3.9,1.2,51.1,6.1,200.0,0.1
0.98,3.8,3.9,1.2,51.0,3.8,191.0,0.2
1.08,4.5,4.2,1.4,50.9,10.3,228.0,0.1
1.03,4.4,4.3,1.2,50.8,7.5,217.0,0.1
1.07,4.4,4.1,1.2,50.7,10.7,219.0,0.1
1.1,4.4,4.0,1.1,50.6,3.8,215.0,0.1
1.03,4.2,4.1,1.7,50.2,2.1,209.0,0.1
0.87,3.5,4.0,1.7,49.6,10.2,172.0,0.1
